COUNTY,STATE,ESTABLISHED_DATE,PARENT
Apache County,Arizona,1879,Yavapai County
Cochise County,Arizona,1881,Pima County
Coconino County,Arizona,1891,Yavapai County
Gila County,Arizona,1881,Maricopa and Pinal Counties
Graham County,Arizona,1881,Apache and Pima Counties
Greenlee,Arizona,1909,Graham County
La Paz,Arizona,1983,Yuma County
Maricopa County,Arizona,1871,Pima and Yavapai Counties
Mohave County,Arizona,1864,none
Navajo County,Arizona,1895,Apache County
Pima County,Arizona,1864,none
Pinal County,Arizona,1875,Maricopa and Pima Counties
Santa Cruz County,Arizona,1899,Cochise and Pima Counties
Yavapai County,Arizona,1864,none
Yuma County,Arizona,1864,none
Alameda County,California,1853,Contra Costa and Santa Clara Counties
Alpine County,California,1864,"Amador, El Dorado, Calaveras, Mono and Tuolumne Counties"
Amador County,California,1854,Calaveras County
Butte County,California,1850,none
Calaveras County,California,1850,none
City and County of San Francisco,California,1850,none
Colusa County,California,1850,none
Contra Costa County,California,1850,none
Del Norte County,California,1857,Klamath County
El Dorado County,California,1850,none
Fresno County,California,1856,"Mariposa, Merced and Tulare Counties"
Glenn County,California,1891,Colusa County
Humboldt County,California,1853,Trinity County
Imperial,California,1907,San Diego County
Inyo County,California,1866,Mono and Tulare Counties
Kern County,California,1866,Los Angeles and Tulare Counties
Kings County,California,1893,Tulare County
Lake County,California,1861,Napa County
Lassen County,California,1864,"Plumas and Shasta Counties, plus Lake County, Nevada (defunct)"
Los Angeles County,California,1850,none
Madera County,California,1893,Mariposa County
Marin County,California,1850,none
Mariposa County,California,1850,none
Mendocino County,California,1850,none
Merced County,California,1855,Mariposa County
Modoc County,California,1874,Siskiyou County
Mono County,California,1861,"Calaveras, Fresno and Mariposa Counties"
Monterey County,California,1850,none
Napa County,California,1850,none
Nevada County,California,1851,Yuba County
Orange County,California,1889,Los Angeles County
Placer County,California,1851,Sutter and Yuba Counties
Plumas County,California,1854,Butte County
Riverside County,California,1893,San Bernardino and San Diego Counties
Sacramento County,California,1850,none
San Benito County,California,1874,Monterey County
San Bernardino County,California,1853,Los Angeles County
San Diego County,California,1850,none
San Joaquin County,California,1850,none
San Luis Obispo County,California,1850,none
San Mateo County,California,1856,San Francisco and Santa Cruz Counties
Santa Barbara County,California,1850,none
Santa Clara County,California,1850,none
Santa Cruz County,California,1850,none
Shasta County,California,1850,none
Sierra County,California,1852,Yuba County
Siskiyou County,California,1852,Shasta and Klamath Counties
Solano County,California,1850,none
Sonoma County,California,1850,none
Stanislaus County,California,1854,Tuolumne County
Sutter County,California,1850,none
Tehama County,California,1856,"Butte, Colusa and Shasta Counties"
Trinity County,California,1850,none
Tulare County,California,1852,Mariposa County
Tuolumne County,California,1850,none
Ventura County,California,1872,Santa Barbara County
Yolo County,California,1850,none
Yuba County,California,1850,none
Adams,Colorado,1902,Arapahoe County
Alamosa,Colorado,1913,Costilla County
Arapahoe County,Colorado,1861,none
Archuleta County,Colorado,1885,Conejos County
Baca County,Colorado,1889,Las Animas County
Bent County,Colorado,1870,Greenwood County
Boulder County,Colorado,1861,none
Broomfield,Colorado,2001,"Adams, Jefferson, and Weld Counties"
Chaffee County,Colorado,1879,Lake County
Cheyenne County,Colorado,1889,Bent and Elbert Counties
Clear Creek County,Colorado,1861,none
Conejos County,Colorado,1861,none
Costilla County,Colorado,1861,none
Crowley,Colorado,1911,Otero County
Custer County,Colorado,1877,Fremont County
Delta County,Colorado,1883,Gunnison County
Denver,Colorado,1902,Arapahoe County
Dolores County,Colorado,1881,Ouray County
Douglas County,Colorado,1861,none
Eagle County,Colorado,1883,Summit County
El Paso County,Colorado,1861,none
Elbert County,Colorado,1874,Greenwood County
Fremont County,Colorado,1861,none
Garfield County,Colorado,1883,Summit County
Gilpin County,Colorado,1861,none
Grand County,Colorado,1874,Summit County
Gunnison County,Colorado,1877,Lake County
Hinsdale County,Colorado,1874,"Lake,_Conejos, and_Costilla_Counties"
Huerfano County,Colorado,1861,none
Jackson,Colorado,1909,Larimer County
Jefferson County,Colorado,1861,none
Kiowa County,Colorado,1889,Bent County
Kit Carson County,Colorado,1889,Elbert County
La Plata County,Colorado,1874,Lake_and_Conejos_Counties
Lake County,Colorado,1861,none
Larimer County,Colorado,1861,none
Las Animas County,Colorado,1866,Huerfano County
Lincoln County,Colorado,1889,Elbert_and_Bent_Counties
Logan County,Colorado,1887,Weld County
Mesa County,Colorado,1883,Gunnison County
Mineral County,Colorado,1893,"Hinsdale,_Rio Grande, and_Saguache_Counties"
Moffat,Colorado,1911,Routt County
Montezuma County,Colorado,1889,La Plata County
Montrose County,Colorado,1883,Gunnison County
Morgan County,Colorado,1889,Weld County
Otero County,Colorado,1889,Bent County
Ouray County,Colorado,1877,Hinsdale_and_Lake_Counties
Park County,Colorado,1861,none
Phillips County,Colorado,1889,Logan County
Pitkin County,Colorado,1881,Gunnison County
Prowers County,Colorado,1889,Bent County
Pueblo County,Colorado,1861,none
Rio Blanco County,Colorado,1889,Garfield County
Rio Grande County,Colorado,1874,Costilla and_Conejos Counties
Routt County,Colorado,1877,Grand County
Saguache County[7][8],Colorado,1866,Lake_and_Costilla_Counties
San Juan County,Colorado,1876,Lake County
San Miguel County,Colorado,1883,San Juan County
Sedgwick County,Colorado,1889,Logan County
Summit County,Colorado,1861,none
Teller County,Colorado,1899,El Paso_and_Fremont_Counties
Washington County,Colorado,1887,Weld County
Weld County,Colorado,1861,none
Yuma County,Colorado,1889,Washington County
Ada County,Idaho,1864,Boise County
Adams,Idaho,1911,Washington County
Bannock County,Idaho,1893,Bingham County
Bear Lake County,Idaho,1893,Oneida County
Benewah,Idaho,1915,Kootenai County
Bingham County,Idaho,1885,Oneida County
Blaine County,Idaho,1895,Alturas County
Boise County,Idaho,1864,none
Bonner,Idaho,1907,Kootenai County
Bonneville,Idaho,1911,Bingham County
Boundary,Idaho,1915,Bonner County
Butte,Idaho,1917,"Bingham, Blaine, and Jefferson Counties"
Camas,Idaho,1917,Blaine County
Canyon County,Idaho,1892,Ada County
Caribou,Idaho,1919,Bannock County
Cassia County,Idaho,1879,Owyhee County
Clark,Idaho,1919,Fremont County
Clearwater,Idaho,1911,Nez Perce County
Custer County,Idaho,1881,Alturas and Lemhi Counties
Elmore County,Idaho,1889,Alturas County
Franklin,Idaho,1913,Oneida County
Fremont County,Idaho,1893,Bingham County
Gem,Idaho,1915,Boise and Canyon Counties
Gooding,Idaho,1913,Lincoln County
Idaho County,Idaho,1864,none
Jefferson,Idaho,1913,Fremont County
Jerome,Idaho,1919,Gooding and Lincoln Counties
Kootenai County,Idaho,1864,Nez Perce County
Latah County,Idaho,1888,Nez Perce County
Lemhi County,Idaho,1869,Idaho County
Lewis,Idaho,1911,Nez Perce County
Lincoln County,Idaho,1895,Logan County
Madison,Idaho,1913,Fremont County
Minidoka,Idaho,1913,Lincoln County
Nez Perce County,Idaho,1864,none
Oneida County,Idaho,1864,none
Owyhee County,Idaho,1863,none
Payette,Idaho,1917,Canyon County
Power,Idaho,1913,"Bingham, Blaine, and Oneida Counties"
Shoshone County,Idaho,1864,none
Teton,Idaho,1915,"Fremont, and Madison Counties"
Twin Falls,Idaho,1907,Cassia County
Valley,Idaho,1917,Boise and Idaho Counties
Washington County,Idaho,1879,Ada County
Beaverhead County,Montana,1864,none
Big Horn,Montana,1913,Rosebud and Yellowstone Counties
Blaine County,Montana,1895,Chouteau County
Broadwater County,Montana,1897,Jefferson and Meagher Counties
Carbon County,Montana,1895,Park and Yellowstone Counties
Carter,Montana,1917,Fallon County
Cascade County,Montana,1887,Chouteau and Meagher Counties
Chouteau County,Montana,1865,none
Custer County,Montana,1865,Big Horn County
